Name,Street,Postal,Locality,Region,Phone,Mobile,Fax,Website,Service,Keyword,Facilities,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday
The Gate Inn,"The Delves, ",DE55 1AQ,Alfreton ,Derbyshire,01773 602039,NA,NA,https://gateinnswanwick.co.uk,NA,"Pubs, Bars",NA,"Arts, Entertainment & Nightlife,Bars & Pubs",16:30 - 23:30,16:00 - 23:30,12:00 - 24:00,12:00 - 23:00,16:30 - 23:30,16:30 - 23:30,16:30 - 23:30
Bargain Booze,12 Institute Lane ,DE55 7BQ,Alfreton ,Derbyshire England,NA,NA,NA,www.bargainbooze.co.uk,NA,Wine Suppliers,NA,"Food & Beverages,Food Retailers,Convenience Stores",NA,NA,NA,NA,NA,NA,NA
The Hawthorns,"Alfreton Road, ",DE55 2AS,Alfreton ,Derbyshire,01773 811328,NA,NA,http://www.hawthornssouthnormantonpub.co.uk,NA,"Pubs, Bars",NA,"Arts, Entertainment & Nightlife,Bars & Pubs",12:00 - 23:00,12:00 - 24:00,12:00 - 24:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00
Lidl,18 Mansfield Road ,DE55 7JJ,Alfreton ,Derbyshire England,+44 370 444 1638,+44 800 977 7766,NA,www.lidl.co.uk,"Supermarkets, Lidl, Bakery, Greengrocers, Discount, Fresh, Foods, middle of lidl, Fruit Veg, Batt, Meat Poultry, Suzuki Ignis","Supermarkets, Lidl, Bakery, Greengrocers, Discount, Fresh, Foods, middle of lidl, Fruit Veg, Batt, Meat Poultry, Suzuki Ignis",NA,"Food & Beverages,Food Retailers,Supermarkets",08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,10:00 - 16:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00
The Blue Bell Inn,30 High Street ,DE55 7BL,Alfreton ,Derbyshire England,01773 836725,NA,NA,http://Bluebellinn-alfreton.craftunionpubs.com,NA,"Pubs, Bars, Drinks",NA,"Arts, Entertainment & Nightlife,Bars & Pubs",11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00
One Stop Convenience Store,141-143 Nottingham Road ,DE55 7FL,Alfreton ,Derbyshire England,01773 834197,NA,NA,www.onestop.co.uk,"Convenience Store, Retailers, Households, Fairies, Lay, Kellogg, Okane, The Red Bull","Convenience Store, Retailers, Households, Fairies, Lay, Kellogg, Okane, The Red Bull","Convenience Store, Retailers, Households, Fairies, Lay, Kellogg, Okane, The Red Bull","Food & Beverages,Food Retailers,Convenience Stores",06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00,06:00 - 22:00
Bargain Booze,Alferton,DE55 7BQ,Alfreton ,Derbyshire England,NA,NA,NA,www.bargainbooze.co.uk,NA,Wine Suppliers,NA,"Food & Beverages,Food Retailers,Convenience Stores",NA,NA,NA,NA,NA,NA,NA
Blueys Aussie Bar and Bistro,32 Nottingham Rd ,DE55 7HL,Alfreton ,Derbyshire England,01773 689106,NA,NA,www.blueys.org.uk,NA,"Australian Wines, Christmas Menu, Bistro Menu, Australian Beer, Steak House Restaurant",NA,"Food & Beverages,Beverage Retailers,Beer, Wine & Spirits",12:00 - 24:00,12:00 - 24:00,12:00 - 24:00,12:00 - 24:00,12:00 - 24:00,12:00 - 24:00,12:00 - 24:00
Brian Furness,4 The Beeches ,DE4 5DW,Crich ,Derbyshire England,01773 853253,7828163893,NA,,NA,"Web Design, Web Development, Website, Hosting",NA,"Business & Professional Services,Web Developer",Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours
Bimbo Design Ltd,"Coney Green Business Centre, Wingfield View, Coney Green Business Park ",S45 9JW,Clay Cross ,Derbyshire England,01246 252330,NA,NA,designbybimbo.co.uk,"Web Design, Business Services","Web Design, Business Services",NA,"Business & Professional Services,Graphic Designers",09:00 - 15:00,09:00 - 15:00,Closed,Closed,09:00 - 15:00,09:00 - 15:00,09:00 - 15:00
Russ Studios Web Services,70 Rupert Street ,S45 8DE,Lower Pilsley ,Derbyshire England,NA,NA,NA,rsws.russstudios.com,NA,"Cloud Hosting, VPS Hosting, SSD Web Hosting",NA,"Business & Professional Services,Web Design",NA,NA,NA,NA,NA,NA,NA
08websolutions,8 Rosings Court,NG17 1LG,Mansfield ,Nottinghamshire England,01623 272162,NA,NA,08websolutions.com,"Web Design, Digital Marketing, Social Media, PPC","Web Design, Digital Marketing, Social Media, PPC",NA,"Business & Professional Services,Web Design",09:00 - 18:00,09:00 - 18:00,Closed,Closed,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
The Co-operative Food - Leabrooks,1 Swanwick Road ,DE55 1LJ,Alfreton ,Derbyshire,01773 526500,NA,NA,https://stores.centralengland.coop/the-co-operative-food-leabrooks-d017409bc209,"Grocery Stores, Coffee Vending Machines, Co Op, Cooperative","Grocery Stores, Coffee Vending Machines, Co Op, Cooperative",NA,"Food & Beverages,Food Retailers,Supermarkets",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,08:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
"The Co-operative Food & Petrol - Nottingham Road, Alfreton",Nottingham Road ,DE55 7GR,Alfreton ,Derbyshire England,01773 521723,NA,NA,https://stores.centralengland.coop/the-co-operative-food-and-petrol-nottingham-road-alfreton-0af40c9,"Grocery Stores, Coffee Vending Machines, Co Op, Cooperative","Grocery Stores, Coffee Vending Machines, Co Op, Cooperative",NA,"Automotive,Auto Services,Petrol Stations",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
Sawmills Design,12 Ripley Road ,DE56 2JQ,Sawmills ,Derbyshire England,7772213338,NA,NA,www.sawmillsdesign.com,"Web Design, Digital Marketing","Web Design, Digital Marketing",NA,"Business & Professional Services,Web Design",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
A1 Comms Ltd,1 High Street ,DE55 7DR,Alfreton ,Derbyshire England,0871 871 8005,NA,NA,,"Mobile Phones, Telecommunications, Cell Phone, Cellular Phone, Mobile Phone Store, Mobiles, Business Mobile Phone, Corporate Mobile Phones, Vodafone, Marketing, Football Club, Online Shop, Tariffs, Microsoft, Midland, Nec, Motorola, Derbys, Wap, Ericsson, Make Money, Web Presence, One2one, Nokia Ring Tones, Seimens, Just Talk, SMS Message, Dual Band, A1comms, Prepay","Mobile Phones, Telecommunications, Cell Phone, Cellular Phone, Mobile Phone Store, Mobiles, Business Mobile Phone, Corporate Mobile Phones, Vodafone, Marketing, Football Club, Online Shop, Tariffs, Microsoft, Midland, Nec, Motorola, Derbys, Wap, Ericsson, Make Money, Web Presence, One2one, Nokia Ring Tones, Seimens, Just Talk, SMS Message, Dual Band, A1comms, Prepay",NA,"Media & Communications,Telecommunications,Telecommunications Equipment",NA,NA,NA,NA,NA,NA,NA
The Co-operative Food - Somercotes,"Market Place, ",DE55 4HT,Alfreton ,Derbyshire,01773 602980,NA,NA,https://stores.centralengland.coop/the-co-operative-food-somercotes-1bb7f987d75f,"Grocery Stores, Coffee Vending Machines, Co Op, Cooperative","Grocery Stores, Coffee Vending Machines, Co Op, Cooperative",NA,"Food & Beverages,Food Retailers,Supermarkets",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
08websolutions,"Butterley Grange, Derby Road ",DE5 3QY,Butterley ,Derbyshire England,01332 492016,07428 590066,NA,08websolutions.com,"Website Design, Internet Marketing, Computer & Internet Training","Website Design, Internet Marketing, Computer & Internet Training",NA,"Business & Professional Services,Web Design",08:00 - 18:00,08:00 - 18:00,Closed,Closed,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00
Webvirtuoso.co.uk,"King Street, Genesis Business Centre ",DE55 7DQ,Alfreton ,Derbyshire England,0844 533 2802,NA,NA,www.webvirtuoso.co.uk,"Website Construction, User Friendly, Domain Names, IT Services, E-commerce, Computer Services, Web Design, Designers, Website Design, Local, Web Design Company, Web Designers, Internet, Website, Website Designers, Web, Email, Affordable, Hosting, Budget, Flash, Site, Midland, Low Cost, Web Page Design, Internet Design, Nottingham, England, Notts, Simple, Smalls, Inexpensive, Derbyshire, Chesterfield, Nottinghamshire, Worksop, Simplicity, Mansfield, Construction Sites, Web Design Notts, Webvirtuoso","Website Construction, User Friendly, Domain Names, IT Services, E-commerce, Computer Services, Web Design, Designers, Website Design, Local, Web Design Company, Web Designers, Internet, Website, Website Designers, Web, Email, Affordable, Hosting, Budget, Flash, Site, Midland, Low Cost, Web Page Design, Internet Design, Nottingham, England, Notts, Simple, Smalls, Inexpensive, Derbyshire, Chesterfield, Nottinghamshire, Worksop, Simplicity, Mansfield, Construction Sites, Web Design Notts, Webvirtuoso",NA,"Business & Professional Services,Web Developer",09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
Motive Power Service,Salcombe Rd Unit D1 ,DE55 7RG,Alfreton ,Derbyshire England,01773 520033,01773 520566,NA,,"Battery Suppliers, Electricians, Web Design, Mobile Phone Store, Servers, VPS, Email Services, Easyspace","Battery Suppliers, Electricians, Web Design, Mobile Phone Store, Servers, VPS, Email Services, Easyspace",NA,"Industry & Manufacturing,Industrial Goods,Battery Suppliers & Services",NA,NA,NA,NA,NA,NA,NA
Jeff Guest Web Design,7 Willows Ave ,DE55 7EQ,Alfreton ,Derbyshire England,0115 871 3191,07557 902389,NA,www.jeffguestwebdesign.co.uk,"Web Design, Website Design, Web Development, Web Designers, Web Design and Development, Business Services, Digital & Online Marketing Agency","Web Design, Website Design, Web Development, Web Designers, Web Design and Development, Business Services, Digital & Online Marketing Agency",NA,"Business & Professional Services,Web Developer",09:30 - 17:00,09:30 - 17:00,Closed,Closed,09:30 - 17:00,09:30 - 17:00,09:30 - 17:00
Drainscan Limited,"ELIZABETH HOUSE, WIGMAN ROAD ",NG8 3HY,Nottingham ,Nottinghamshire England,0115 900 7303,NA,NA,www.drainscan.com,"Sewage Collection, Drainage Consultants, Sewerage","Sewage Collection, Drainage Consultants, Sewerage",NA,"Utilities,Water Supply,Water Companies",07:00 - 17:00,07:00 - 17:00,Closed,Closed,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00
CEMA COMMERCIAL LTD.,"WHITE HOUSE, WOLLATON STREET",NG1 5GF,Nottingham ,Nottinghamshire England,NA,NA,NA,,"Sewage Collection, Sewerage","Sewage Collection, Sewerage",NA,"Utilities,Water Supply,Water Companies",NA,NA,NA,NA,NA,NA,NA
Sb Drainage Limited,DARFOULDE HOUSE 15 DOVECLIFF ROAD ,DE13 0DJ,Stretton ,Staffordshire England,NA,NA,NA,,"Sewage Collection, Sewerage","Sewage Collection, Sewerage",NA,"Utilities,Water Supply,Water Companies",NA,NA,NA,NA,NA,NA,NA
ClearFirst Drainage,Unit C1 Salcome Road,DE55 7RG,Alfreton ,Derbyshire England,01773 830048,0800 294 2907,NA,www.clearfirst.co.uk,"Pest Control, Vermin Control, Sewage Collection, Drain Inspection, Local Business, Drains, Local Services","Pest Control, Vermin Control, Sewage Collection, Drain Inspection, Local Business, Drains, Local Services",NA,"Community & Government,Waste Management,Sewage & Water Treatment Services",07:45 - 17:00,07:45 - 17:00,08:00 - 16:00,Closed,07:45 - 17:00,07:45 - 17:00,07:45 - 17:00
Lee Marsh Design,32 Tansley Road ,S42 5JZ,North Wingfield ,Derbyshire England,01246 854862,07815 431984,NA,www.leemarshdesign.co.uk,"Website Design, Logos, Web Development, Web Designers, CMS Systems, Social Networking, E-commerce, Photography, Marketing, Custom Design, Studios, Location, Print Media, Optimisation, Copywriting Services, Ecommerce Websites, Sell Online, Google Ads, Custom Work, Promotional Stuff, Secure Payments, Bespoke Stores, RSS, Blogs & RSS","Website Design, Logos, Web Development, Web Designers, CMS Systems, Social Networking, E-commerce, Photography, Marketing, Custom Design, Studios, Location, Print Media, Optimisation, Copywriting Services, Ecommerce Websites, Sell Online, Google Ads, Custom Work, Promotional Stuff, Secure Payments, Bespoke Stores, RSS, Blogs & RSS",NA,"Business & Professional Services,Web Developer",NA,NA,NA,NA,NA,NA,NA
DBS PROCESSING LIMITED,"Unit 4,Brook Court,Amber Drive ",NG16 4BE,Nottingham ,Nottinghamshire England,01773 687090,NA,NA,,NA,"Bespoke Solutions, Landfill Diversion, Sludge Removal, Dewatering Equipment, Mobile rag and grit recovery Units, Mobile Screening Unit, rag and grit removal, Separate solids from liquid, Solids removal process, Street sweepings recycling, Street sweepings separation, Ultrafines recovery, wash plant relocation, washing plant upgrades, Waste Screening Equipment, wastewater processing",NA,"Industry & Manufacturing,Industrial Goods,Recycling Equipment",08:00 - 17:00,08:00 - 17:00,Closed,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00
LTE DRAINAGE SOLUTIONS LIMITED,99 WILSTHORPE ROAD ,NG10 3LE,Long Eaton ,Derbyshire England,NA,NA,NA,,Sewage Collection,Sewage Collection,NA,"Community & Government,Waste Management,Sewage & Water Treatment Services",NA,NA,NA,NA,NA,NA,NA
Dekrod Limited,"AMBERLEY, STONEYFIELD BANK ",DE56 1GA,Belper ,Derbyshire England,NA,NA,NA,,"Sewage Collection, Sewerage","Sewage Collection, Sewerage",NA,"Utilities,Water Supply,Water Companies",NA,NA,NA,NA,NA,NA,NA
FASTAWAY SOLUTIONS (U.K) LTD,71 B Chain Lane ,DE23 4DY,Littleover ,Derbyshire England,NA,NA,NA,,Sewage Collection,Sewage Collection,NA,"Community & Government,Waste Management,Sewage & Water Treatment Services",NA,NA,NA,NA,NA,NA,NA
EAST MIDLANDS JET WASHING SERVICES LIMITED,"Vicarage Corner House, 219 Burton Road ",DE23 6AE,Derby ,Derbyshire England,NA,NA,NA,,Sewage Collection,Sewage Collection,NA,"Community & Government,Waste Management,Sewage & Water Treatment Services",NA,NA,NA,NA,NA,NA,NA
A J Lees,34 QUARN DRIVE ,DE22 2NQ,Allestree ,Derbyshire England,07713 478785,NA,NA,,"Heating, Water, Heating Systems, Plumbing Fixture","Heating, Water, Heating Systems, Plumbing Fixture",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
A.e Manship Plumbing & Heating,17 CRABTREE CLO ,DE22 2SW,Allestree ,Derbyshire England,01332 553183,NA,NA,,"Heating, Heating Systems, Plumbing Fixture","Heating, Heating Systems, Plumbing Fixture",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
"Reid, Andrew J","3 CROFT HO, SIDDALS LA ALLESTREE ",DE22 2DY,Allestree ,Derbyshire England,01332-557054,NA,NA,,"Water, Plumbing Systems, Plumbing Fixture","Water, Plumbing Systems, Plumbing Fixture",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
Robert Alan Eason,87 ALLESTREE LANE ,DE22 2HS,Allestree ,Derbyshire England,01332 552775,NA,NA,,"Heating, Water, Heating Systems","Heating, Water, Heating Systems",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
D Judge,10 Welwyn Ave ,DE22 2JQ,Allestree ,Derbyshire England,01332 559476,NA,NA,,"Heating, Central Heating, Water, Heating Systems, Plumbing Systems, Water Heaters, Installation Servicing, Appliances, Central Heating Systems, Plumbing Fixture","Heating, Central Heating, Water, Heating Systems, Plumbing Systems, Water Heaters, Installation Servicing, Appliances, Central Heating Systems, Plumbing Fixture",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
NatWest - DERBY ATM,7 Market Place,DE1 3ZF,Derby ,Derbyshire England,0151 236 7191,0845 788 8444,0845 302 9416,personal.natwest.com/personal.html,"Bank, Credit Card","Bank, Credit Card",NA,"Finance,Banking Services,Banks & ATMs",09:00 - 17:00,09:00 - 17:00,09:30 - 13:00,Closed,09:00 - 17:00,09:00 - 17:00,09:30 - 17:00
RBS The Royal Bank of Scotland DERBY,41 Cornmarket ,DE1 2DG,Derby ,Derbyshire England,01332 348527,0800 121129,NA,personal.rbs.co.uk/personal.html,"Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Finance,Banking Services,Banks & ATMs",09:15 - 16:45,09:15 - 16:45,09:00 - 13:00,Closed,09:15 - 16:45,09:15 - 16:45,09:45 - 16:45
Post Office Limited,Danebridge Crescent ,DE21 2HT,Oakwood ,Derbyshire England,01332 281300,0345 722 3344,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, ATM 24hr, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Post Office, Mail Delivery, ATM 24hr, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Post Office, Mail Delivery, ATM 24hr, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,Closed,08:00 - 17:30,08:00 - 17:30,09:00 - 17:30
Barclays Bank Derby,Barclays Business Centre Sir Frank Whittle Road ,DE21 4RX,Derby ,Derbyshire England,0345 734 5345,NA,NA,www.barclays.co.uk,"Financial Services, Bank, Credit Card","Financial Services, Bank, Credit Card",NA,"Finance,Banking Services,Banks & ATMs",09:30 - 16:30,09:30 - 16:30,Closed,Closed,09:30 - 16:30,09:30 - 16:30,09:30 - 16:30
NatWest - DERBY ATM,Kedleston Road,DE22 1ZS,Derby ,Derbyshire England,0845 605 1605,NA,NA,personal.natwest.com/personal.html,"Bank, Travel, Credit Card","Bank, Travel, Credit Card","Bank, Travel, Credit Card","Finance,Banking Services,Banks & ATMs",NA,NA,NA,NA,NA,NA,NA
Post Office Limited,3 Eyes Court Town Street,DE56 4EH,Belper ,Derbyshire England,01332 840105,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Low Reception/Information Counters Available, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Low Reception/Information Counters Available, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Low Reception/Information Counters Available, Ink and Toner, National Express Tickets","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Post Office Limited,123 Kedleston Road ,DE22 1FS,Derby ,Derbyshire England,01332 342360,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Alternative Languages Available, Current Account Servicing, dropdown counters, Facilities for Hard of Hearing People, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Alternative Languages Available, Current Account Servicing, dropdown counters, Facilities for Hard of Hearing People, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, National Express Tickets","Post Office, Mail Delivery, Alternative Languages Available, Current Account Servicing, dropdown counters, Facilities for Hard of Hearing People, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, National Express Tickets","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 13:30,Closed,08:30 - 17:30,09:00 - 17:30,09:00 - 17:30
Post Office Limited,160 Alfreton Road ,DE21 5DE,Little Eaton ,Derbyshire England,01332 832780,0345 722 3344,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Grocery, Frozen Foods, Households, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Post Office, Mail Delivery, Grocery, Frozen Foods, Households, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Post Office, Mail Delivery, Grocery, Frozen Foods, Households, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, National Express Tickets","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
M d Plumbing,5 EVANS AVENUE ,DE22 2EL,Allestree ,Derbyshire England,01332 551553,01332 551553,NA,beta.companieshouse.gov.uk/company/04701307/officers,"Heating, Heating Systems, Bathroom Designers, Kitchen Installers, Kitchen Fitters, All Work Guaranteed, All Trades, Approved Contractors, Plumbing Fixture","Heating, Heating Systems, Bathroom Designers, Kitchen Installers, Kitchen Fitters, All Work Guaranteed, All Trades, Approved Contractors, Plumbing Fixture",NA,"Construction & Contractors,Plumbers",NA,NA,NA,NA,NA,NA,NA
RBS The Royal Bank of Scotland DERBY,25A Park Farm Dr,DE22 2QN,Derby ,Derbyshire England,01332 552321,NA,NA,personal.rbs.co.uk/personal.html,"Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Bank, Current Accounts, Mortgages, Loans, Travel, Savings, Credit Card","Finance,Banking Services,Banks & ATMs",NA,NA,NA,NA,NA,NA,NA
The Original Factory Shop,28 Somerset Street ,NP13 1DJ,Abertillery ,Blaenau Gwent Wales,01495 214878,NA,NA,https://www.tofs.com/storelocator/store/index/id/Abertillery/,NA,"Shoe Shops, Women's Clothing Shops, Beauty Supply Stores",NA,"Shopping & Retail,Retail Shops,Department Stores",09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,10:30 - 16:30,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
Peacocks Fashion,41-44 CHURCH STREET ,NP13 1DB,Abertillery ,Blaenau Gwent Wales,01495 213665,NA,NA,www.peacocks.co.uk,NA,Clothing Shops,Clothing Shops,"Shopping & Retail,Clothing & Accessories,Clothing Shops",09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,Open 24 Hours,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
Dr i Parkes,2 Park La ,DE22 2DS,Allestree ,Derbyshire England,01332 552461,01332 541500,NA,www.parklanesurgeryallestree.co.uk,"Travel Vaccinations, Repeat Prescriptions, Prescriptions, Physiotherapy, Home Visits, Flu Vaccinations, Family Health, Flu Vaccination, Home Visit",NA,NA,"Health & Medicine,Medical Facilities,Clinics & Medical Centres",09:00 - 20:00,09:00 - 20:00,Closed,Closed,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00
Park Lane Surgery,2 Park Lane ,DE22 2DS,Allestree ,Derbyshire England,01332 552461,07377 400279,01332 541500,parklanesurgeryallestree.co.uk,"travel vaccinations, repeat prescriptions, prescriptions, physiotherapy, home visits, flu vaccinations, family health, Flu Vaccination, Home Visit",NA,NA,"Health & Medicine,Medical Facilities,Clinics & Medical Centres",08:00 - 18:30,08:00 - 18:30,Closed,Closed,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30
J & r Fashions,10 Somerset Street ,NP13 1DJ,Abertillery ,Blaenau Gwent Wales,01495 321769,NA,NA,,NA,Women's Clothing,NA,"Shopping & Retail,Clothing & Accessories,Clothing Shops",NA,NA,NA,NA,NA,NA,NA
Park Farm Medical Centre,3 Park Farm Dr ,DE22 2QN,Allestree ,Derbyshire England,01332 559402,01332 541001,NA,www.parkfarm-medical.net,Contraception,Contraception,Contraception,"Health & Medicine,Medical Facilities,Clinics & Medical Centres",08:00 - 18:30,08:00 - 18:30,Closed,Closed,08:00 - 18:30,08:00 - 18:30,08:00 - 18:30
Post Office Limited,Park Farm Drive ,DE22 2QN,Allestree ,Derbyshire England,3457223344,NA,NA,www.postoffice.co.uk,"Post Office, Mail Delivery, Ink and Toner","Post Office, Mail Delivery, Ink and Toner","Post Office, Mail Delivery, Ink and Toner","Business & Professional Services,Postal Services,Post Office",09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
There Be Dragons Ltd,3 MOOR PARK COTTAGES ,NP8 1SS,Llanbedr ,Powys Wales,NA,NA,NA,,NA,"Women's Clothing Manufacturer, Manufacture of Woman's Outerwear",NA,"Shopping & Retail,Clothing & Accessories,Clothing Shops",NA,NA,NA,NA,NA,NA,NA
Kerrys Collection,"Broadoaks, Victoria Road ",NP4 8PT,Abersychan ,Torfaen Wales,01495 773729,01495 773729,NA,,NA,"Women's Clothing, Clothing Shops",NA,"Shopping & Retail,Clothing & Accessories,Clothing Shops",NA,NA,NA,NA,NA,NA,NA
New Look,31 Beaufort Street ,NP23 4AB,Ebbw Vale ,,01495 313486,NA,NA,http://www.newlook.com/uk/store/1032,NA,"Shoe Shops, Clothing Shops, Women's Clothing Shops, Fashion Accessories Shops, Boys' Clothing",NA,"Shopping & Retail,Clothing & Accessories,Clothing Shops",09:30 - 17:30,09:30 - 17:30,09:30 - 17:30,Closed,09:30 - 17:30,09:30 - 17:30,09:30 - 17:30
Oxfam Charity Shops Brynmawr,"Central Depot, Barley Fileds Industrial Estate",NP23 4YF,Nantyglo ,Blaenau Gwent Wales,0300 200 1292,NA,NA,www.oxfam.org.uk,Charity Shops,Charity Shops,NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Oxfam Shop Abergavenny,58 Frogmore Street ,NP7 5AR,Abergavenny ,Monmouthshire Wales,01873 852201,NA,NA,www.oxfam.org.uk,Charity Shops,Charity Shops,NA,"Community & Government,Charities & Voluntary Organisations",09:00 - 16:30,09:00 - 16:30,09:00 - 16:30,Closed,09:00 - 16:30,09:00 - 16:30,09:00 - 16:30
Morrison Supermarkets Abergavenny,Park Road ,NP7 5TP,Abergavenny ,Monmouthshire Wales,01873 719443,NA,NA,groceries.morrisons.com/webshop/startwebshop.do,"Supermarkets, Butchers, Free, Flower Shops, Coffee Bars, Pizza Counters, Free Taxi Phone, Pizza Hot","Supermarkets, Butchers, Free, Flower Shops, Coffee Bars, Pizza Counters, Free Taxi Phone, Pizza Hot","Supermarkets, Butchers, Free, Flower Shops, Coffee Bars, Pizza Counters, Free Taxi Phone, Pizza Hot","Food & Beverages,Food Retailers,Supermarkets",07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,10:00 - 16:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00
Nicholls,"18-19, Frogmore Street ",NP7 5AH,Abergavenny ,Monmouthshire Wales,01873 854566,01873 852774,NA,www.nichollsonline.co.uk,NA,"Gifts, Gift Shop, Birthday Gifts, Special Occasion Gifts, Girls Clothes, Cafe, Canteen, Restaurants, Electronics, Gift Ideas, Home Appliances, Department Store, Women's Clothing, Bedding, Retail Shops, Ladies Clothing, Women's Clothes, Bedclothes, Bedcovers, Pillow Shams, Jewellery Designers, Girls Clothing, Men's Clothes, Designer Accessories, Boys' Clothing, Boys' Clothes",NA,"Home & Garden,Furniture,Furniture Shops",09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 16:00,09:30 - 17:30,09:00 - 17:30,09:00 - 17:30
Oxfam Charity Shops Abergavenny,Castle St ,NP7 5EE,Abergavenny ,Monmouthshire Wales,0300 200 1292,NA,NA,www.oxfam.org.uk,Charity Shops,Charity Shops,NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
Oxfam Charity Shops Abergavenny,"Waitrose, Methyr Rd",NP7 9LL,Llanfoist ,Monmouthshire Wales,0300 200 1292,NA,NA,www.oxfam.org.uk,Charity Shops,Charity Shops,NA,"Community & Government,Charities & Voluntary Organisations",NA,NA,NA,NA,NA,NA,NA
