Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Phone,Email2,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities, All Categories present in,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
Mind,NA,NA,NA,NA,NA,NA,NA,"The Wellbeing Centre, 61-66 Penybryn",SA9 1JB,Ystradgynlais ,Neath Port Talbot Wales,01639 841345,info@minditv.org.uk,NA,NA,www.minditv.org.uk,NA,NA,"Advice and Information, Anger management, Anxiety management, Counselling, Drop in, Education and training, Volunteer opportunities, Wellbeing, Workshops","Charities, Advice, Drop, Well Being",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Charities & Voluntary Organisations Ystradgynlais,Community & Government,Charities & Voluntary Organisations",,"https://www.facebook.com/mindforbettermentalhealth,https://twitter.com/intent/user?screen_name=mindcharity&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fmind-14727238.html",NA,10:00 - 16:00,10:00 - 16:00,Closed,Closed,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/mind-14727238.html
All Wales Ambulance Services Ltd,ALL WALES AMBULANCE SERVICES LIMITED,3876322,England/Wales,Ambulance Headquarters 7 - 10 Ynyscedwyn Business Park Trawsffordd Road Ystradgynlais Swansea SA9 1DT,86900 - Other human health activities,12-Nov-99,Private Limited Company,7-10 YNYSCEDWYN INDUSTRIAL ESTATE ,SA9 1DT,Ystradgynlais ,Neath Port Talbot Wales,01639 844111,NA,01639 849600,NA,awas.co.uk,NA,NA,"patient transport, non-emergency patient transport, Medical Services, Public Health Services, Emergency Transport, Healthcare, Transport, First Aid Training","Ambulance Service, Private Ambulance, First Aid, Air Ambulance, Paramedics, Air Ambulance Service, Emergency Services, Occupational Health, Leisure, Training, Private, NHS, Entertainment Lifestyle, Linsminis, Health and Safety, National Health Service, Harlequin Productions, Qualified, Medical Cover, Healthcare Training, Ambulance Job Vacancies, Medical Escort, Welsh Ambulance Service, Clinical Effectiveness, Dialing 999, Non Emergency Services, United Kingdom Ambulance Service, Welsh Healthcare Services, Frontline Ambulances",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Emergency Medical Services Ystradgynlais,Ambulance Services Ystradgynlais,Health & Medicine,Emergency Medical Services,Ambulance Services,Health & Medicine,Medical Facilities,Clinics & Medical Centres",,NA,Clinic,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/all-wales-ambulance-services-ltd-16730485.html
Associated Community Training (ACT),NA,NA,NA,NA,NA,NA,NA,Tudor Street ,SA9 1AP,Ystradgynlais ,Neath Port Talbot Wales,07841 038081,NA,NA,NA,www.acttraining.org.uk,NA,NA,"hairdressing courses, barbering courses, automative engineering courses, construction courses, hospitality courses",Training Services,NA,NA,,NA,NA,"Education Ystradgynlais,Training Services Ystradgynlais,Best Training Centres & Courses Ystradgynlais,Education,Training Services,Training Centres & Courses",,"https://www.facebook.com/acttraining,https://twitter.com/intent/user?screen_name=acttrainingltd&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fassociated-community-training--act--25833112.html,https://www.linkedin.com/company/act-training?trk=tyah,https://www.flickr.com/photos/94212520@N02/",NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/associated-community-training--act--25833112.html
The Grove,NA,NA,NA,NA,NA,NA,NA,17 Ysyscedwyn Road,SA9 1BE,Ystradgynlais ,Neath Port Talbot Wales,01639 842138,NA,01524 842845,01639 849014,www.bupa.co.uk,NA,NA,Healthcare,"Residential Care Homes, Care Homes, Assisted Living, Personal Care Services, Retirement Homes, Residential Homes, Care Homes with Nursing, Assisted Living Facilities, Rest Homes, Nursing Care Homes, Elderly Care Homes, Old People's Homes, Home Care Services, Nursing Home, Convalescent Homes, Health, Training, Community, Fitness, Exercise, Healthy, Welfare, Walking, Muscle, Running, Fit, Posture, Strength, Aerobics, Stretching, Exercising",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Residential Care Ystradgynlais,Best Residential, Retirement & Care Homes Ystradgynlais,Health & Medicine,Residential Care,Residential, Retirement & Care Homes",,"https://www.facebook.com/BupaUK,https://twitter.com/intent/user?screen_name=bupauk&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fthe-grove-15700884.html,https://www.youtube.com/user/Bupa,https://www.linkedin.com/company/bupa-uk",NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/the-grove-15700884.html
Coleg Powys,NA,NA,NA,NA,NA,NA,NA,3 BRECON ROAD ,SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,01639 849234,NA,0845 408 6500,NA,www.coleg-powys.ac.uk,NA,Collage,NA,"School, College, University, Further Education, Schools and Colleges, Educational Institution, Higher Education, Education, Teaching, Classes, Training, Courses, Academy, Schools Colleges Further Education, Grade, Mid, Brecons",NA,NA,,NA,NA,"Education Ystradgynlais,Higher Education Ystradgynlais,Colleges & Universities Ystradgynlais,Education,Higher Education,Colleges & Universities,Education,Schools",,"https://www.facebook.com/NptcGroup,https://twitter.com/intent/user?screen_name=NPTCGroup&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fcoleg-powys-12964318.html",NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/coleg-powys-12964318.html
The Range Store,NA,NA,NA,NA,NA,NA,NA,TRALLWN ROAD ,SA7 9WL,Llansamlet ,Swansea Wales,01792 793399,NA,NA,NA,www.therange.co.uk,NA,"furniture, bedrooms, home furnishings, awnings, gifts, garden tools, home accessories, aquarium treatments, toys, books, dishwashers",NA,"Department Store, DIY Stores, Aquarium Treatment","the range, blenheim, julian bowen, wenlock, dunkirk, winchester, hudson beach",NA,,NA,"Order & Collect, DeeDee's Café, Disabled Toilets, Baby Changing, Free Parking, Disabled Parking, Rug Doctor","Shopping & Retail Llansamlet,Retail Shops Llansamlet,DIY Stores Llansamlet,Shopping & Retail,Retail Shops,DIY Stores,Home & Garden,Furniture,Furniture Shops,Arts, Entertainment & Nightlife,Arts & Crafts,Arts & Crafts Supplies & Shops,Shopping & Retail,Retail Shops,Department Stores,Home & Garden,Garden Supplies,Home & Garden,Blinds Shops,Home & Garden,Kitchenware,Construction & Contractors,Lighting Fixtures & Accessories,Home & Garden,Homeware","Maestro,MasterCard,PayPal,Visa","https://www.facebook.com/therangeuk,https://twitter.com/intent/user?screen_name=TheRangeUK&original_referer=https%3a%2f%2fllansamlet.cylex-uk.co.uk%2fcompany%2fthe-range-store-16618477.html,https://www.youtube.com/user/therangeuk,https://www.pinterest.com/therange/",NA,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,10:30 - 16:30,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,https://llansamlet.cylex-uk.co.uk/company/the-range-store-16618477.html
Electric Center,NA,NA,NA,NA,NA,NA,NA,"Unit G20 Ashmount Business Park, Upper Fforest Way, Swansea Enterprise Park",SA6 8QR,Swansea ,Swansea Wales,01792 700222,NA,01792 700221,NA,www.electric-center.co.uk,NA,"wiring accessories, cable accessories & sundries, lamps & lighting, solar photovoltaics",NA,"Electronic Center, Solar Photovoltaic","sharp, mem, spax, philips, robus",NA,,NA,NA,"Construction & Contractors Swansea,Best Electrical Goods Swansea,Industry & Manufacturing,Industrial Goods,Cable & Wire,Construction & Contractors,Building Materials,Plumbing & HVAC Supplies,Construction & Contractors,Electrical Goods,Construction & Contractors,Lighting Fixtures & Accessories",,"https://www.facebook.com/electricinverness/,https://twitter.com/intent/user?screen_name=ecpeterborough&original_referer=https%3a%2f%2fswansea.cylex-uk.co.uk%2fcompany%2felectric-center-23703756.html",NA,07:30 - 17:30,07:30 - 17:00,08:30 - 12:00,Closed,07:30 - 17:30,07:30 - 17:30,07:30 - 17:30,https://swansea.cylex-uk.co.uk/company/electric-center-23703756.html
Selco Builders Warehouse Swansea,NA,NA,NA,NA,NA,NA,NA,"Upper Fforest Way, Llansamlet ",SA6 8PJ,Swansea Enterprise Park ,Swansea Wales,01792 310456,NA,NA,NA,www.selcobw.com/branches/view/branch/county/wales/name/swansea,NA,"bathroom furniture, mirrors, showers, builders equipment, ironmongery, door furtniture, locks, window furniture, lighting, kitchen appliances, kitchen taps, worktops, paints, safety wear, sealants, Paint",NA,Building Materials Supplier,NA,NA,,NA,NA,"Construction & Contractors Swansea Enterprise Park,Building Materials Swansea Enterprise Park,Construction & Contractors,Doors & Windows,Door Suppliers,Construction & Contractors,Doors & Windows,Door Furniture & Accessories,Home & Garden,Carpet & Flooring,Carpet & Flooring Shops,Construction & Contractors,Tools & Hardware,Hardware Stores,Business & Professional Services,Rental & Leasing Services,Equipment & Tool Hire,Construction & Contractors,Building Materials,Home & Garden,Bathroom Fixtures & Accessories,Construction & Contractors,Electrical Goods,Construction & Contractors,Lighting Fixtures & Accessories",,NA,NA,06:30 - 20:00,06:30 - 20:00,07:00 - 16:00,10:00 - 16:00,06:30 - 20:00,06:30 - 20:00,06:30 - 20:00,https://swansea-enterprise-park.cylex-uk.co.uk/company/selco-builders-warehouse-swansea-15686241.html
SELCO LLANSAMLET,NA,NA,NA,NA,NA,NA,NA,"Upper Fforest Way, Llansamlet ",SA6 8PJ,Llansamlet ,Swansea Wales,01792 310456,NA,NA,NA,www.selcobw.com/branches/view/branch/county/wales/name/swansea,NA,"bathroom furniture, mirrors, showers, builders equipment, ironmongery, door furtniture, locks, window furniture, lighting, kitchen appliances, kitchen taps, worktops, paints, safety wear, sealants, Paint","Branch Delivery, Sheet Cutting, Kitchen Design, Brick Matching, Special Orders, Paint Mixing, Cafe, Click & Collect","Building Materials Supplier, Bricks, Special Order",NA,NA,,NA,NA,"Construction & Contractors Llansamlet,Building Materials Llansamlet,Construction & Contractors,Doors & Windows,Door Suppliers,Construction & Contractors,Doors & Windows,Door Furniture & Accessories,Home & Garden,Carpet & Flooring,Carpet & Flooring Shops,Construction & Contractors,Tools & Hardware,Hardware Stores,Business & Professional Services,Rental & Leasing Services,Equipment & Tool Hire,Construction & Contractors,Building Materials,Home & Garden,Bathroom Fixtures & Accessories,Construction & Contractors,Electrical Goods,Construction & Contractors,Lighting Fixtures & Accessories",,NA,NA,06:30 - 20:00,06:30 - 20:00,07:00 - 16:00,10:00 - 16:00,06:30 - 20:00,06:30 - 20:00,06:30 - 20:00,https://swansea-enterprise-park.cylex-uk.co.uk/company/selco-llansamlet-23887156.html
Rainbow Blinds (South Wales) Limited,RAINBOW BLINDS (SOUTH WALES) LIMITED,7461049,England/Wales,"14 Axis Court Mallard Way, Riverside Business Park Swansea Vale Swansea SA7 0AJ Wales","47599 - Retail of furniture, lighting, and similar (not musical instruments or scores) in specialised store",6-Dec-10,Private Limited Company,"14 AXIS COURT, MALLARD WAY, RIVERSIDE BUSINESS PARK SWANSEA VALE ",SA7 0AJ,Swansea Vale ,Swansea Wales,01792 321333,NA,NA,NA,,NA,NA,NA,"Lighting Fixtures, Furniture and Lighting Retail, Household Goods",NA,NA,,NA,NA,"Construction & Contractors Swansea Vale,Lighting Fixtures & Accessories Swansea Vale,Construction & Contractors,Lighting Fixtures & Accessories,Construction & Contractors,Flooring Contractors",,NA,Furniture Shop,NA,NA,NA,NA,NA,NA,NA,https://swansea-vale.cylex-uk.co.uk/company/rainbow-blinds--south-wales--limited-22785584.html
Ty Croeso (Ystradgynlais & District) Ltd,TY CROESO (YSTRADGYNLAIS & DISTRICT) LTD.,3219857,England/Wales,NA,86900 - Other human health activities,3-Jul-96,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)","25, HEOL EGLWYS ",SA9 1EY,Ystradgynlais ,Neath Port Talbot Wales,01639 844414,NA,NA,NA,www.tycroeso.co.uk,NA,NA,"counselling services, complimentary therapies, relaxation therapy, Medical Services, Health Care Services, Complementary Therapies","Hospice, Hospice Care, Nursing Home, Leisure, Hospital, Counselling, Cancer Support",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Medical Facilities Ystradgynlais,Hospices Ystradgynlais,Health & Medicine,Medical Facilities,Hospices,Health & Medicine,Medical Facilities,Clinics & Medical Centres,Health & Medicine,Residential Care,Residential, Retirement & Care Homes",,NA,"Hospitals and Medical Establishments, Clinic",NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/ty-croeso--ystradgynlais---district--ltd-15709216.html
UK FLOORING DISTRIBUTION LTD,UK FLOORING DISTRIBUTION LTD,8533380,Wales,NA,"46470 - Wholesale of furniture, carpets and lighting equipment",17-May-13,Private Limited Company,"Unit 4, Milland Road Industrial Estate ",SA11 1NJ,Neath ,Neath Port Talbot Wales,01639 633001,NA,NA,NA,www.floorwise.co.uk,NA,NA,NA,"Lighting Equipment, Furniture Wholesalers, Carpet Wholesalers",NA,NA,,NA,NA,"Construction & Contractors Neath,Lighting Fixtures & Accessories Neath,Construction & Contractors,Lighting Fixtures & Accessories,Wholesale Trade,Furniture Wholesalers,Construction & Contractors,Flooring Contractors",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/uk-flooring-distribution-ltd-25730029.html
Ystradgynlais Library,NA,NA,NA,NA,NA,NA,NA,TEMPERANCE LANE ,SA9 1JP,Ystradgynlais ,Neath Port Talbot Wales,01639 845353,NA,01639 849312,NA,en.powys.gov.uk,NA,"Library Books, Books",NA,"Library, Community Development, Books for Sale, Novel",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Libraries & Archives Ystradgynlais,Community & Government,Government Agencies & Offices,Local Government,Community & Government,Libraries & Archives",,https://www.facebook.com/ystradlib/about/,NA,10:00 - 17:00,10:00 - 16:00,10:00 - 12:30,Closed,10:00 - 18:00,10:00 - 17:00,10:00 - 13:00,https://ystradgynlais.cylex-uk.co.uk/company/ystradgynlais-library-13929114.html
Tecnic,NA,NA,NA,NA,NA,NA,NA,Gurnos Road ,SA9 2JP,Ystradgynlais ,Neath Port Talbot Wales,01639 849272,NA,01264 773833,NA,www.tecnic.co.uk,NA,Lighting,NA,"Sound and Lighting Equipment, Lighting Consultants, Lighting Design, Lighting Designers, Consultants",NA,NA,,NA,NA,"Construction & Contractors Ystradgynlais,Lighting Fixtures & Accessories Ystradgynlais,Construction & Contractors,Lighting Fixtures & Accessories",,"https://www.facebook.com/pages/Tecnic/582199465161178,https://twitter.com/intent/user?screen_name=tecnic&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2ftecnic-16998559.html",NA,10:00 - 16:00,10:00 - 16:00,Closed,Closed,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/tecnic-16998559.html
Designer Outdoor Lighting,NA,NA,NA,NA,NA,NA,NA,"1st Floor, St Johns Court, Upper Fforest way",SA6 9QQ,Swansea Enterprise Park ,Swansea Wales,01792 224356,NA,07540 635698,NA,www.designeroutdoorlighting.co.uk,NA,Exterior Lighting,NA,"Outdoor Lighting, Commercial Lighting, Garden Lights, LED, deisgner lighting",NA,NA,,NA,NA,"Construction & Contractors Swansea Enterprise Park,Lighting Fixtures & Accessories Swansea Enterprise Park,Construction & Contractors,Lighting Fixtures & Accessories",,"https://www.facebook.com/designeroutdoorlighting/,https://twitter.com/intent/user?screen_name=dolighting&original_referer=https%3a%2f%2fswansea-enterprise-park.cylex-uk.co.uk%2fcompany%2fdesigner-outdoor-lighting-26676150.html,https://www.youtube.com/channel/UCaIeqJz4fMrpdoCS40bKytg",NA,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,https://swansea-enterprise-park.cylex-uk.co.uk/company/designer-outdoor-lighting-26676150.html
Francis Design,NA,NA,NA,NA,NA,NA,NA,1 COMMERCIAL STREET ,SA9 1HD,Ystradgynlais ,Neath Port Talbot Wales,01639 845219,NA,NA,NA,,NA,"Flower Arrangement, Lights, Bags, Mirrors, Buffets",Weddings,"Flowers, Bouquets, Floral Design, Lighting Systems, Fish Bowls, Chair Covers, Organza",NA,NA,,NA,NA,"Shopping & Retail Ystradgynlais,Florists Ystradgynlais,Shopping & Retail,Florists",,http://www.facebook.com/francisdesign,Florists,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/francis-design-22980189.html
J Daly,NA,NA,NA,NA,NA,NA,NA,Unit 16 Ynyscedwyn Industrial Estate Trawsffordd Road ,SA9 1DT,Ystradgynlais ,Neath Port Talbot Wales,01639 842038,NA,01639 842038,NA,,NA,NA,"Plumbing, Heating Services","Heating, Consultants, Heating Systems",NA,NA,,NA,NA,"Construction & Contractors Ystradgynlais,Plumbers Ystradgynlais,Construction & Contractors,Plumbers",,NA,"Plumbing Contractors, Heating Contractors, Heating Consultants, Heating Contractors and Consultants",08:00 - 17:00,08:00 - 17:00,08:30 - 12:00,Closed,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/j-daly-15636581.html
Fire-Ex (Electrician & Fire Protection Engineers),NA,NA,NA,NA,NA,NA,NA,91 Lluest ,SA9 1HU,Ystradgynlais ,Neath Port Talbot Wales,01639 849168,NA,07837 875197,NA,fire-ex.co.uk,NA,Fire Extinguishers,"Ystradgynlais,  Pontardawe,  Swansea,  Neath,  Port talbot,  Cardiff,  Carmarthen,  Llanelli,  Brecon,  Ammanford and surrounding areas","Fire Protection, Fire Safety, Electricians, Electricians & Electrical Contractors, Electrical Installation Condition Report Periodic Testing",NA,"Ystradgynlais,  Pontardawe,  Swansea,  Neath,  Port talbot,  Cardiff,  Carmarthen,  Llanelli,  Brecon,  Ammanford and surrounding areas",,NA,"Domestic work, Commercial work, Free estimates, 24 hour call-out, Insurance work undertaken, Cards accepted","Business & Professional Services Ystradgynlais,Safety & Security Ystradgynlais,Fire Protection Consultants & Engineers Ystradgynlais,Business & Professional Services,Safety & Security,Fire Protection Consultants & Engineers,Construction & Contractors,Automatic Gate Installers",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/fire-ex--electrician---fire-protection-engineers--25841999.html
Gadgetsmart,NA,NA,NA,NA,NA,NA,NA,UNIT 3/GURNOS INDUSTRIAL ESTATE BETHEL ROAD ,SA9 2HW,Ystalyfera ,Neath Port Talbot Wales,01639 841142,NA,01639 841145,NA,,NA,NA,NA,"Lighting Consultants, Lighting Design, Lighting Designers",NA,NA,,NA,NA,"Construction & Contractors Ystalyfera,Lighting Fixtures & Accessories Ystalyfera,Construction & Contractors,Lighting Fixtures & Accessories",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystalyfera.cylex-uk.co.uk/company/gadgetsmart-16145988.html
Springdew Ltd,SPRINGDEW LIMITED,2697495,England/Wales,NA,82920 - Packaging activities,16-Mar-92,Private Limited Company,"Unit 9-12, Woodlands Business Park ",SA9 1JW,Ystradgynlais ,Neath Port Talbot Wales,01639 849676,NA,01639 845662,NA,springdew.co.uk,NA,NA,NA,"Packaging Services, Pallets, Packing, Packaging, Custom Packaging, Packers, Containers, Crates",NA,NA,,NA,NA,"Industry & Manufacturing Ystradgynlais,Material Handling Ystradgynlais,Crates & Pallets Ystradgynlais,Industry & Manufacturing,Material Handling,Crates & Pallets,Business & Professional Services,Packaging Services",,NA,NA,07:00 - 17:00,07:00 - 14:00,Closed,Closed,07:00 - 17:00,07:00 - 17:00,07:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/springdew-ltd-13188807.html
Powys - Ystradgynlais Citizens Advice,NA,NA,NA,NA,NA,NA,NA,Welfare Hall Brecon Road ,SA9 1JJ,Ystradgynlais ,Neath Port Talbot Wales,03444 77 20 20,NA,NA,NA,www.powyscitizensadvice.org.uk,NA,NA,NA,Citizens Advice Bureau,NA,NA,,NA,"Wheelchair accessible, Wheelchair toilet access","Community & Government Ystradgynlais,Individual & Family Services Ystradgynlais,Counselling & Advice Services Ystradgynlais,Community & Government,Individual & Family Services,Counselling & Advice Services",,"https://www.facebook.com/CitizensAdvice,https://twitter.com/intent/user?screen_name=CitizensAdvice&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fpowys---ystradgynlais-citizens-advice-19231957.html",NA,10:00 - 16:00,10:00 - 16:00,Closed,Closed,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/powys---ystradgynlais-citizens-advice-19231957.html
LEWIS BROS,LEWIS BROS (BROADWAY GARAGE) LIMITED,5193245,NA,NA,47300 - Retail sale of automotive fuel in specialised stores,29-Jul-04,Private Limited Company,67a Gurnos Rd ,SA9 2JS,Ystradgynlais ,Neath Port Talbot Wales,01639 842168,NA,NA,NA,www.servicesureautocentres.com,NA,NA,"Garage Services, Car Repair, Car Maintenance, Garage, Car Garage, Car Service, Vehicle Repair, Automotive Repairs, Auto Repair, Auto Service","Automotive Service, Petrol Station, Automotive Fuel Retail, Automobiles",NA,NA,,NA,NA,"Automotive Ystradgynlais,Auto Repair Ystradgynlais,Garages Ystradgynlais,Automotive,Auto Repair,Garages",,https://www.facebook.com/servicesure/?ref=bookmarks,"Auto Garage, Car Repair Shops",08:30 - 17:30,08:30 - 17:30,08:30 - 12:00,Closed,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,https://ystradgynlais.cylex-uk.co.uk/company/lewis-bros-12914199.html
Pc Doctor,NA,NA,NA,NA,NA,NA,NA,"3, BRECON ROAD ",SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,01639 843765,NA,NA,NA,www.pcdoctorwales.co.uk,NA,Cartridge,NA,"Printing Supplies, Printer Parts, Toner, Printing Machines",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Printing Services Ystradgynlais,Business & Professional Services,Printing Services",,NA,Colour Printers,09:00 - 17:00,09:00 - 17:00,14:00 - 16:00,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/pc-doctor-12856879.html
Ystradgynlais Volunteer Centre,NA,NA,NA,NA,NA,NA,NA,16 Station Rd ,SA9 1NT,Ystradgynlais ,Neath Port Talbot Wales,01639 849192,ystradgynlais@btconnect.com,01639 849192,NA,www.ystradgynlaisvc.org.uk,NA,NA,"befriending, community transport, office services, volunteer training","Volunteer Centre, Volunteer Bureaux, Community Support, Disability Aids",NA,NA,,NA,NA,"Community & Government Ystradgynlais,Charities & Voluntary Organisations Ystradgynlais,Home & Garden,Furniture,Furniture Shops,Community & Government,Charities & Voluntary Organisations",,"http://www.facebook.com/ystradgynlaisvc,https://twitter.com/intent/user?screen_name=ystradgynlaisvc&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fystradgynlais-volunteer-centre-14727246.html",Furniture Shop,08:30 - 16:30,08:30 - 16:30,10:00 - 13:00,Closed,08:30 - 16:30,08:30 - 16:30,08:30 - 16:30,https://ystradgynlais.cylex-uk.co.uk/company/ystradgynlais-volunteer-centre-14727246.html
Ystradgynlais Community Hospital,NA,NA,NA,NA,NA,NA,NA,Glanrhyd Rd,SA9 1AU,Ystradgynlais ,Neath Port Talbot Wales,01639 844777,NA,NA,NA,www.wales.nhs.uk/sitesplus/863/page/50661,NA,NA,"sexual health, pregnancy testing, gp services, cervical smears, Medical Care, Cervical Smear, Healthcare, Inpatient Care, Adult Entertainment","Local Business, Hospital, Treatment, Dance & Night Club",NA,NA,,NA,NA,"Health & Medicine Ystradgynlais,Medical Facilities Ystradgynlais,Clinics & Medical Centres Ystradgynlais,Health & Medicine,Medical Facilities,Clinics & Medical Centres",,"https://www.facebook.com/pages/Ystradgynlais-Hospital/159170557433334,https://www.youtube.com/channel/UCl2Nc41JMkiIshVvvx2rPVA","Hospitals and Medical Establishments, Clinic, Healthcare Providers, GP Surgery, Doctors, Medical Practitioners, Physician, GP",NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/ystradgynlais-community-hospital-14727239.html
Davies Chemist - Ystradgynlais,NA,NA,NA,NA,NA,NA,NA,8 Commercial Street ,SA9 1HD,Ystalyfera ,Neath Port Talbot Wales,01639 855106,NA,NA,NA,www.alphega-pharmacy.co.uk,NA,NA,"electronic prescription service, repeat prescription service, medicines disposal service, medicines use review service, Repeat Prescriptions",Pharmacy,NA,NA,,NA,NA,"Health & Medicine Ystalyfera,Best Pharmacies Ystalyfera,Health & Medicine,Pharmacies","American Express,Maestro,MasterCard,Visa",https://www.facebook.com/pages/Davies-Chemists/289158064435953,NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://ystradgynlais.cylex-uk.co.uk/company/davies-chemist---ystradgynlais-25804486.html
Phillip Morgan Entertainments,NA,NA,NA,NA,NA,NA,NA,"90, Tawe Park ",SA9 1GW,Ystradgynlais ,Neath Port Talbot Wales,01639 842656,NA,07986 712180,NA,www.pments.co.uk,NA,NA,"Event Entertainment, Entertainment Services, Entertainment Hire, Performers, Professional Entertainers, Entertainment","Events, Party, Disco, Shows, Act",NA,NA,,NA,NA,"Arts, Entertainment & Nightlife Ystradgynlais,Entertainers Ystradgynlais,Arts, Entertainment & Nightlife,Entertainers","Cash,Cheque",https://www.facebook.com/phillip.morganents,"Entertainers, Artists, Entertainment Agencies",09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,https://ystradgynlais.cylex-uk.co.uk/company/phillip-morgan-entertainments-14547460.html
Valley View Cleaning Services,NA,NA,NA,NA,NA,NA,NA,1 Garden Cottages Heol Giedd ,SA9 1JZ,Ystradgynlais ,Neath Port Talbot Wales,07939 871547,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,,Cash,https://www.facebook.com/pg/ValleyViewCleaningServices/photos/?ref=page_internal,NA,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,Open 24 Hours,https://ystradgynlais.cylex-uk.co.uk/company/valley-view-cleaning-services-26786955.html
Legato Consulting Limited,LEGATO CONSULTING LIMITED,5444682,England/Wales,NA,62020 - Information technology consultancy activities,5-May-05,Private Limited Company,59 YNYSCEDWYN ROAD ,SA9 1BH,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"IT Services, IT Consultants",NA,NA,,NA,NA,"Electronics & Technology Ystradgynlais,Computers & Software Ystradgynlais,Computer & Software Shops Ystradgynlais,Electronics & Technology,Computers & Software,Computer & Software Shops,Electronics & Technology,Computer Services,IT Services",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/legato-consulting-limited-20550698.html
